,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Year,Item_Outlet_Sales
8523,9,20.75,9185,0.007564836,1989,107.8622,1550,4655,3980,9294,21,4254.073309425934
8524,9,8.3,5019,0.038427677,1136,87.3198,1543,7996,4641,9294,13,3055.2221645695154
8525,9,14.6,9185,0.099574908,280,241.7538,925,7996,5583,1805,22,1397.5013700778607
8526,9,7.315,9185,0.015388393,1989,155.034,1543,7996,4641,9294,13,5481.623853313966
8527,9,13.6,5019,0.118599314,1136,234.23,1559,4655,5583,1559,35,14559.921869164538
8528,10,9.8,5019,0.063817206,2013,117.1492,1550,7996,3980,9294,23,5349.968290326141
8529,9,19.35,5019,0.082601537,1086,50.1034,1546,4655,5583,1546,11,1793.2611810450428
8530,9,9.195000000000002,9185,0.015782495,1086,81.0592,1559,4655,5583,1559,35,4967.147304846947
8531,8,6.305,5019,0.123365446,1989,95.7436,1548,7996,4641,9294,18,3901.2879774183134
8532,9,5.985,9185,0.005698435,1086,186.8924,1543,7996,4641,9294,13,6636.956778497067
8533,8,16.6,9185,0.103569075,2013,118.3466,1543,7996,4641,9294,13,4155.46902269496
8534,9,6.59,9185,0.10581147,2013,85.3908,1548,7996,4641,9294,18,3473.772841448966
8535,10,17.75,9185,0.171079215,858,240.4196,880,7996,3980,1805,35,1361.772013188421
8536,10,4.785,9185,0.092737611,416,122.3098,1550,4655,3980,9294,21,4817.1050394371805
8537,9,16.75,9185,0.021206464,362,52.0298,1553,1553,5583,9294,33,1982.0109830627202
8538,9,6.135,5019,0.0794507,1086,151.6366,1550,4655,3980,9294,21,5994.066779639811
8539,8,19.85,9185,0.05413521,89,198.7768,1548,7996,4641,9294,18,8204.539977942017
8540,8,17.85,9185,0.037980963,726,192.2188,1546,4655,5583,1546,11,7037.566254930869
8541,9,6.13,9185,0.028184344,1548,109.6912,1559,4655,5583,1559,35,6749.076520646685
8542,9,13.6,9185,0.196897637,1989,193.7136,925,7996,5583,1805,22,1114.7747408982468
8543,9,7.1,9185,0.109920138,2013,175.008,1553,1553,5583,9294,33,6782.734807443025
8544,9,19.2,9185,0.182619235,280,239.9196,1550,7996,4641,9294,16,9484.86985835979
8545,8,13.65,9185,0.065630844,1426,47.7402,1550,7996,3980,9294,23,2148.8747610515506
8546,10,15.35,9185,0.027447057,280,142.347,880,7996,3980,1805,35,801.5116680071333
8547,9,19.2,9185,0.035178935,1989,180.7318,1550,7996,4641,9294,16,7128.534483979965
8548,10,6.785,5019,0.038455125,1989,209.4928,925,7996,5583,1805,22,1209.7982985642489
8549,10,13.0,9185,0.035102094,1548,47.6034,1550,7996,4641,9294,16,1837.7608886198764
8550,10,5.825,9185,0.091485232,1548,161.3894,1550,7996,3980,9294,23,7404.744781665899
8551,10,13.8,9185,0.058102469,1136,244.6802,1550,7996,3980,9294,23,11308.613363922992
8552,10,12.8,9185,0.022940349,2013,116.5492,1550,7996,4641,9294,16,4567.3629288748025
8553,10,9.105,9185,0.06737681,1548,32.09,880,7996,3980,1805,35,176.1956870643618
8554,9,9.5,5019,0.022148582,736,194.9452,1546,4655,5583,1546,11,7144.2699378563275
8555,8,12.5,9185,0.006792707,1548,42.4112,1546,4655,5583,1546,11,1519.066647161644
8556,10,10.5,5019,0.024870035,2013,217.7508,1559,4655,5583,1559,35,13548.607902335621
8557,8,5.78,9185,0.096931426,416,164.2552,1543,7996,4641,9294,13,5798.447773814771
8558,8,15.7,5019,0.008693632,736,205.098,1559,4655,5583,1559,35,12767.404243681905
8559,9,9.0,9185,0.078961284,1084,80.3644,1559,4655,5583,1559,35,4913.059487483381
8560,9,10.395,9185,0.050479463,1086,114.0176,925,7996,5583,1805,22,651.7877805621163
8561,10,18.35,9185,0.089485918,1548,192.1504,1543,7996,4641,9294,13,6801.061497284326
8562,10,8.85,9185,0.01594238,1548,103.3964,1559,4655,5583,1559,35,6360.682629103453
8563,9,21.1,9185,0.029127115,1548,143.3786,1546,4655,5583,1546,11,5226.628233885963
8564,9,19.75,9185,0.069236421,2013,116.6466,925,7996,5583,1805,22,666.77286907143
8565,9,8.43,9185,0.178699961,1548,173.9422,1543,7996,4641,9294,13,6140.933426165073
8566,10,15.35,9185,0.015740089,280,144.847,1546,4655,5583,1546,11,5285.468442513625
8567,10,6.71,9185,0.059565107,416,217.2166,925,7996,5583,1805,22,1254.3819577786123
8568,9,10.195,9185,0.126277921,1084,112.1886,1553,1553,5583,9294,33,4316.26716647323
8569,10,11.65,9185,0.291322397,1136,55.8298,925,7996,5583,1805,22,314.75538667482414
8570,10,12.85,9185,0.053433908,858,183.2608,1550,7996,4641,9294,16,7225.7681531555145
8571,10,12.15,9185,0.131155007,1426,248.146,1550,7996,4641,9294,16,9819.852314312408
8572,8,18.25,9185,0.075194929,1989,124.9046,1550,7996,3980,9294,23,5708.7429185883
8573,10,5.98,9185,0.075557965,362,57.0614,1550,7996,3980,9294,23,2575.319168335408
8574,8,12.65,9185,0.122928415,736,106.6938,1553,1553,5583,9294,33,4101.701686708744
8575,9,13.1,5019,0.044442342,2013,181.0318,1543,7996,4641,9294,13,6407.5168902376145
8576,10,20.7,5019,0.100741569,2013,122.3388,1543,7996,4641,9294,13,4298.100732513803
8577,8,8.365,5019,0.039651481,2013,188.7188,1559,4655,5583,1559,35,11707.76020217695
8578,9,7.855,9185,0.011278673,1084,188.8188,1550,4655,3980,9294,21,7510.237254512271
8579,9,13.35,5019,0.14409005277777778,1989,179.666,1553,1553,5583,9294,33,6963.626775347799
8580,10,17.25,9185,0.106952661,1426,38.3822,1553,1553,5583,9294,33,1451.7717612541583
8581,10,5.78,5019,0.129825457,1989,263.2568,880,7996,3980,1805,35,1493.8661361942009
8582,8,10.395,5019,0.029947409,1136,90.1514,1548,7996,4641,9294,18,3676.980636485439
8583,10,8.315,5019,0.035565457,1086,144.8444,1550,7996,4641,9294,16,5692.659496652703
8584,9,20.7,5019,0.047760002,1136,214.9876,1543,7996,4641,9294,13,7629.673477583314
8585,9,6.38,9185,0.015089147,1548,141.347,1559,4655,5583,1559,35,8739.78522375562
8586,10,21.35,9185,0.07818366,2013,96.8094,1543,7996,4641,9294,13,3389.5818111167205
8587,8,5.88,9185,0.086632125,1426,152.6998,1548,7996,4641,9294,18,6272.003482002516
8588,10,12.3,5019,0.064306056,269,90.3804,1559,4655,5583,1559,35,5537.384741727117
8589,9,7.435,9185,0.08493006,269,165.8158,1543,7996,4641,9294,13,5855.487672728609
8590,9,14.65,9185,0.072066634,1548,262.5594,1550,7996,3980,9294,23,12145.143304834597
8591,8,14.0,9185,0.041256807,269,181.2634,1553,1553,5583,9294,33,7038.568327471028
8592,10,18.2,9185,0.058587558,1548,221.6456,1548,7996,4641,9294,18,9163.494581172237
8593,10,17.6,9185,0.015711434,1548,180.0976,1550,4655,3980,9294,21,7154.664196337711
8594,10,15.5,9185,0.032714163,1086,108.1938,1559,4655,5583,1559,35,6654.117031128211
8595,9,7.71,5019,0.047782552,1136,122.3756,1546,4655,5583,1546,11,4446.640928346624
8596,10,7.81,9185,0.067560171,726,245.2486,1550,4655,3980,9294,21,9771.869094972666
8597,8,16.35,9185,0.029505077,1548,256.2646,1548,7996,4641,9294,18,10629.46709194425
8598,10,13.0,5019,0.045076104,726,173.7054,1548,7996,4641,9294,18,7155.9811196579785
8599,10,11.5,9185,0.299544153,1989,124.8704,880,7996,3980,1805,35,699.3374478889974
8600,9,13.35,9185,0.139452413,1426,148.6392,1550,7996,3980,9294,23,6806.80624299816
8601,10,15.75,9185,0.246178257,362,252.4382,880,7996,3980,1805,35,1430.257002228096
8602,9,16.1,9185,0.065128984,1136,145.176,1553,1553,5583,9294,33,5613.679713694344
8603,9,17.85,9185,0.024816585,726,152.6998,1550,7996,4641,9294,16,6009.446895054727
8604,9,5.34,5019,0.005988175,1989,100.6358,1546,4655,5583,1546,11,3655.5904472257253
8605,9,5.51,9185,0.034473804,858,97.3726,1550,7996,3980,9294,23,4437.345614186077
8606,9,6.61,5019,0.028987582,1989,188.6898,1553,1553,5583,9294,33,7335.211718173049
8607,8,6.38,9185,0.032078604,1136,177.6344,1543,7996,4641,9294,13,6288.155921163628
8608,9,16.1,5019,0.013593151,2013,108.9596,1550,7996,4641,9294,16,4268.3729399923905
8609,10,13.65,9185,0.015911432,416,230.5668,1550,7996,3980,9294,23,10665.020840244291
8610,10,19.2,5019,0.005588601,269,225.5062,1550,7996,3980,9294,23,10442.149593598451
8611,9,8.71,9185,0.139510771,1084,46.2376,1548,7996,4641,9294,18,1861.8203693564074
8612,10,17.75,5019,0.262504325,1136,242.2538,925,7996,5583,1805,22,1398.582872326451
8613,9,19.35,5019,0.048619719666666665,736,165.7816,1548,7996,4641,9294,18,6823.72029668001
8614,8,16.0,9185,0.056783774,1136,223.1404,1559,4655,5583,1559,35,13873.738141515933
8615,9,19.7,9185,0.041536279,1426,107.7912,1559,4655,5583,1559,35,6626.794802305561
8616,9,6.44,9185,0.079538056,416,99.47,1546,4655,5583,1546,11,3599.809790712418
8617,8,12.6,9185,0.064057374,858,122.1414,1553,1553,5583,9294,33,4709.980786547535
8618,9,7.935,9185,0.017156262,1136,48.135,1550,7996,3980,9294,23,2170.9121704678123
8619,9,18.25,9185,0.054540968,1989,140.4154,1543,7996,4641,9294,13,4948.27568272846
8620,9,18.5,5019,0.045648973,1136,145.6102,1546,4655,5583,1546,11,5306.034265666781
8621,10,6.035,5019,0.065917194,1086,185.724,1548,7996,4641,9294,18,7655.354859483553
8622,9,11.8,9185,0.058687359,858,81.1618,1553,1553,5583,9294,33,3109.6088581646436
8623,10,6.26,5019,0.009908113,736,151.1366,1546,4655,5583,1546,11,5522.241026238002
8624,8,16.5,5019,0.094395215,1086,97.2068,1543,7996,4641,9294,13,3402.843109478901
8625,9,15.7,5019,0.02777326,1084,169.279,1543,7996,4641,9294,13,5988.9195697336745
8626,9,6.635,5019,0.006326106,1086,122.1098,1550,7996,3980,9294,23,5597.895982507789
8627,8,7.39,9185,0.143990546,726,191.553,880,7996,3980,1805,35,1081.2826039181457
8628,9,7.39,9185,0.09233359,1548,250.6066,1559,4655,5583,1559,35,15600.180818918849
8629,10,7.725,9185,0.083661793,1084,248.6092,880,7996,3980,1805,35,1410.296777497452
8630,10,14.0,5019,0.042022999,1989,53.064,1550,4655,3980,9294,21,2064.2574881365126
8631,9,12.35,5019,0.072044336,1136,48.8692,1559,4655,5583,1559,35,2964.179766344439
8632,9,17.75,9185,0.03350607133333333,1136,249.775,1546,4655,5583,1546,11,9184.997920382524
8633,9,17.75,9185,0.024404214,2013,159.0262,925,7996,5583,1805,22,914.8671075883453
8634,10,8.155,9185,0.119450639,736,190.653,1550,7996,3980,9294,23,8767.664082192909
8635,9,17.25,9185,0.121917641,1084,76.6986,925,7996,5583,1805,22,435.140510395253
8636,10,9.5,5019,0.131905128,1426,232.0668,1559,4655,5583,1559,35,14421.20645307079
8637,10,6.175,5019,0.179043614,736,95.3752,1550,7996,4641,9294,16,3715.1062404080276
8638,9,18.35,9185,0.0152302,362,107.0938,1559,4655,5583,1559,35,6592.272105295096
8639,9,8.18,5019,0.082401592,1426,55.9588,1550,7996,3980,9294,23,2524.464572295468
8640,10,8.355,9185,0.013917468,1086,92.5462,1553,1553,5583,9294,33,3560.2789731852235
8641,9,6.905,5019,0.038140213,1136,96.3726,1550,7996,4641,9294,16,3762.534260779635
8642,10,20.35,9185,0.054166556,1989,116.9466,1548,7996,4641,9294,18,4785.98810853573
8643,8,20.85,9185,0.03229139,1086,178.766,1559,4655,5583,1559,35,11083.762062953121
8644,9,19.25,9185,0.108641498,1548,33.0558,1543,7996,4641,9294,13,1137.044365377362
8645,9,5.48,9185,0.015105338,1426,84.625,1550,7996,4641,9294,16,3301.170682671132
8646,10,5.425,5019,0.114650377,1086,87.3514,1550,4655,3980,9294,21,3420.7251180995336
8647,8,12.1,9185,0.115342009,1086,220.2114,1546,4655,5583,1546,11,8067.816460158092
8648,10,6.035,5019,0.0686582538,1086,186.424,1559,4655,5583,1559,35,11554.441407027429
8649,9,11.0,9185,0.00896468,736,120.6756,1548,7996,4641,9294,18,4953.259156522889
8650,9,5.765,9185,0.082346376,1086,38.8164,1546,4655,5583,1546,11,1383.6016962294245
8651,8,13.8,9185,0.013318,1084,110.1254,1546,4655,5583,1546,11,4001.72282800105
8652,8,13.8,9185,0.01325293,1084,108.2254,1553,1553,5583,9294,33,4174.231943212337
8653,8,5.44,5019,0.017131453,1086,177.837,1546,4655,5583,1546,11,6509.96430905091
8654,10,12.8,9185,0.022925594,2013,116.4492,1553,1553,5583,9294,33,4493.345359336896
8655,9,6.13,9185,0.028316137,1548,109.3912,1550,7996,4641,9294,16,4281.2537323337365
8656,9,8.195,9185,0.052562923,1086,93.9462,925,7996,5583,1805,22,535.3495152002952
8657,8,14.15,9185,0.1837926,726,81.3276,1550,4655,3980,9294,21,3179.1206584997003
8658,9,13.3,9185,0.111296158,1426,151.2708,880,7996,3980,1805,35,850.9611326394003
8659,8,16.75,9185,0.029860799,1989,39.5822,1546,4655,5583,1546,11,1413.301050475831
8660,8,14.3,9185,0.130617879,1086,76.5328,1550,4655,3980,9294,21,2990.1652403346166
8661,10,15.85,9185,0.238990225,1084,94.7094,880,7996,3980,1805,35,528.2311303718695
8662,9,5.635,9185,0.103186396,1086,151.805,1553,1553,5583,9294,33,5870.530499204822
8663,9,5.73,9185,0.04033290288888888,726,188.3898,925,7996,5583,1805,22,1086.004235939048
8664,10,7.155,5019,0.168186376,416,36.5874,1550,7996,3980,9294,23,1637.727175650035
8665,9,15.2,9185,0.050255855,726,97.3752,1550,4655,3980,9294,21,3824.2397178080573
8666,9,15.25,9185,0.061173235,1548,128.5968,1550,7996,4641,9294,16,5040.698560121887
8667,8,10.395,5019,0.029881147,1136,89.5514,1550,7996,4641,9294,16,3493.2656068481033
8668,9,8.76,9185,0.050154219,858,126.9336,1548,7996,4641,9294,18,5202.098232660512
8669,9,9.13,9185,0.051837621,1548,152.6024,1550,7996,4641,9294,16,5999.50519115964
8670,9,11.1,9185,0.11013617,2013,189.7846,1559,4655,5583,1559,35,11758.50667738839
8671,10,19.6,9185,0.024086626,1548,106.0964,1543,7996,4641,9294,13,3726.217696947996
8672,9,8.93,9185,0.013115567,1548,53.7614,1559,4655,5583,1559,35,3273.5418237612034
8673,10,20.35,9185,0.0563844029,1989,118.9466,1550,4655,3980,9294,21,4685.7350969241315
8674,10,10.0,9185,0.038764258,2013,246.2144,1548,7996,4641,9294,18,10202.223698559517
8675,10,11.3,9185,0.07986963,1548,180.466,925,7996,5583,1805,22,1038.63669033289
8676,10,6.57,9185,0.066057085,362,259.3278,1550,7996,4641,9294,16,10279.261100362499
8677,10,13.15,9185,0.093044518,1548,158.4604,1546,4655,5583,1546,11,5776.524256468065
8678,9,4.635,9185,0.140771867,416,129.4994,1553,1553,5583,9294,33,4993.037403637195
8679,9,10.6,5019,0.033186809,186,49.1008,1546,4655,5583,1546,11,1758.9981401926545
8680,8,9.3,9185,0.11139344,416,65.2826,1550,4655,3980,9294,21,2544.6575998651865
8681,9,7.02,9185,0.049966527,1136,82.525,1548,7996,4641,9294,18,3358.79220808266
8682,9,13.8,9185,0.097212998,1136,58.293,1550,4655,3980,9294,21,2268.498126586893
8683,9,7.825,5019,0.150863781,1426,158.0288,1543,7996,4641,9294,13,5571.809614715116
8684,10,19.1,9185,0.091900406,280,182.5608,1550,7996,4641,9294,16,7192.389097626582
8685,10,7.51,9185,0.017414576,2013,231.101,1553,1553,5583,9294,33,9019.542176326786
8686,8,8.85,9185,0.053866912,2013,183.0292,1550,7996,3980,9294,23,8420.709588198199
8687,9,17.35,9185,0.014714625,1426,75.4038,1550,4655,3980,9294,21,2954.159222962057
8688,10,17.75,9185,0.127140836,1086,110.5544,925,7996,5583,1805,22,630.8793481667316
8689,9,20.85,5019,0.061923154,1086,87.5514,1559,4655,5583,1559,35,5361.593667217434
8690,9,16.6,9185,0.122417514,2013,174.3738,1550,4655,3980,9294,21,6904.267591860873
8691,10,15.15,9185,0.026191759,1086,150.4708,1548,7996,4641,9294,18,6189.10531054159
8692,10,5.46,5019,0.053858378,1084,186.924,925,7996,5583,1805,22,1076.9930243379683
8693,8,9.5,5019,0.048784266,269,188.5898,1548,7996,4641,9294,18,7778.5957021793465
8694,9,13.5,9185,0.073080167,1548,161.492,1543,7996,4641,9294,13,5701.549853118402
8695,9,8.275,9185,0.184602443,1548,106.5306,925,7996,5583,1805,22,607.2454475807763
8696,10,10.8,5019,0.080582001,1086,39.4138,925,7996,5583,1805,22,221.35398454593343
8697,9,5.635,9185,0.103856487,1086,151.305,1543,7996,4641,9294,13,5333.7352542220915
8698,10,7.51,9185,0.017500079,2013,228.801,1546,4655,5583,1546,11,8409.328993766147
8699,10,9.1,9185,0.173275373,1086,127.6362,1559,4655,5583,1559,35,7852.822024964723
8700,8,20.35,9185,0.083393481,736,180.6292,1559,4655,5583,1559,35,11186.625727536148
8701,8,9.8,5019,0.0450476,1086,36.4874,1559,4655,5583,1559,35,2204.1993010027345
8702,8,10.8,9185,0.051816577,726,236.4564,1559,4655,5583,1559,35,14717.209668666499
8703,8,15.5,5019,0.026297031,2013,102.7332,1550,7996,4641,9294,16,4017.0278582304536
8704,8,4.905,9185,0.117808305,1084,198.5768,1546,4655,5583,1546,11,7262.899552398122
8705,9,9.285,5019,0.049270974,1426,243.9144,1550,7996,4641,9294,16,9662.656021254828
8706,10,8.97,9185,0.093540749,1548,55.4956,1543,7996,4641,9294,13,1925.2851543744812
8707,9,18.75,9185,0.087105823,858,108.228,925,7996,5583,1805,22,617.7119727088045
8708,8,8.895,9185,0.093630837125,1548,110.9544,1550,4655,3980,9294,21,4362.980761955687
8709,9,16.35,9185,0.068068082,2013,199.1426,1550,7996,4641,9294,16,7859.86701080008
8710,9,10.195,5019,0.01761655,269,239.4538,1553,1553,5583,9294,33,9350.729323129426
8711,8,9.5,9185,0.040898157,362,225.2088,1550,4655,3980,9294,21,8967.251132871936
8712,8,12.1,9185,0.079791176,1548,169.5106,1550,7996,4641,9294,16,6671.577268074484
8713,10,12.5,9185,0.031049674,2013,101.399,1550,7996,3980,9294,23,4624.504767026062
8714,9,15.2,9185,0.019112323,1989,236.2248,1546,4655,5583,1546,11,8685.594382451129
8715,9,5.635,9185,0.103272336,1086,151.205,1550,7996,3980,9294,23,6929.056262279691
8716,9,8.42,5019,0.054001526,1084,227.8352,880,7996,3980,1805,35,1291.4120376349874
8717,9,8.895,5019,0.081073148,1989,51.2008,1550,7996,4641,9294,16,1976.6933273105558
8718,10,8.02,9185,0.019774239,1548,154.5972,1559,4655,5583,1559,35,9569.315743367044
8719,9,15.1,5019,0.153038134,2013,219.0456,880,7996,3980,1805,35,1239.0393811490053
8720,10,6.89,5019,0.13720009,1989,191.882,1543,7996,4641,9294,13,6787.440780455057
8721,10,16.25,9185,0.02573698,2013,169.3474,1550,7996,3980,9294,23,7789.3820041481085
8722,10,8.935,9185,0.070354806,1426,53.9298,880,7996,3980,1805,35,298.575224824595
8723,9,17.6,5019,0.047028483,1989,118.3782,1559,4655,5583,1559,35,7287.39658193284
8724,10,13.85,9185,0.030857538,726,140.6154,1548,7996,4641,9294,18,5776.145621844799
8725,9,16.75,9185,0.045302246,1989,189.1556,1543,7996,4641,9294,13,6699.605656505184
8726,9,18.0,9185,0.073341257,1084,155.7972,1548,7996,4641,9294,18,6402.7510710431325
8727,9,9.21,9185,0.00880049,2013,123.0414,1546,4655,5583,1546,11,4481.581112734725
8728,9,20.85,9185,0.039562497,736,118.1808,1550,7996,3980,9294,23,5401.371158419211
8729,10,10.0,9185,0.038745948,2013,245.0144,1550,4655,3980,9294,21,9769.813540750178
8730,9,5.48,9185,0.015193653,1426,82.825,1543,7996,4641,9294,13,2899.1695238897114
8731,9,19.25,5019,0.027075481,736,195.611,1550,7996,4641,9294,16,7727.996305489543
8732,8,18.5,9185,0.052068722,1989,117.0124,1550,7996,3980,9294,23,5345.1076178826825
8733,8,15.7,5019,0.114010306,1084,112.2202,1559,4655,5583,1559,35,6894.022667705362
8734,9,10.695000000000002,9185,0.111641021,1548,38.8848,880,7996,3980,1805,35,214.01618302353396
8735,8,15.7,5019,0.008771522,736,205.798,1546,4655,5583,1546,11,7558.139887470236
8736,10,20.25,5019,0.103304968,1084,92.612,1543,7996,4641,9294,13,3239.0738180772064
8737,9,10.8,9185,0.028919203,1989,240.9222,1553,1553,5583,9294,33,9402.619457341969
8738,10,18.5,9185,0.034136703,280,130.0284,1543,7996,4641,9294,13,4579.510164703682
8739,10,11.8,5019,0.045393469,736,102.2674,880,7996,3980,1805,35,572.3884224908941
8740,9,9.695000000000002,5019,0.047199898,1426,244.9144,1559,4655,5583,1559,35,15254.204508910254
8741,9,18.0,9185,0.07319282,1084,154.2972,1550,7996,3980,9294,23,7076.391044059361
8742,10,10.5,9185,0.011287929,1548,238.9248,1550,7996,3980,9294,23,11063.148004348921
8743,10,14.7,9185,0.036628533,362,145.6128,880,7996,3980,1805,35,819.875827266737
